;Scopy version,f8fd4de
;Exported on,Monday August 29/08/2022
;Device,M2K
;Nr of samples,100
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(Â°)
0,500,13.9482,179.681
1,551.001,13.9488,179.623
2,607.205,13.9485,179.614
3,669.142,13.9543,179.541
4,737.396,13.9523,179.479
5,812.613,13.95,179.53
6,895.502,13.948,179.534
7,986.846,13.9439,179.389
8,1087.51,13.9595,179.373
9,1198.44,13.96,179.285
10,1320.68,13.9586,179.201
11,1455.39,13.9586,179.091
12,1603.85,13.9561,178.979
13,1767.44,13.9574,178.928
14,1947.73,13.9531,178.779
15,2146.4,13.9511,178.694
16,2365.34,13.9536,178.437
17,2606.61,13.9581,178.29
18,2872.5,13.9675,178.317
19,3165.5,13.9705,178.072
20,3488.39,13.96,177.767
21,3844.21,13.9577,177.573
22,4236.33,13.9714,177.294
23,4668.45,13.9617,176.945
24,5144.65,13.9691,176.575
25,5669.42,13.9651,176.316
26,6247.72,13.9612,176.033
27,6885,13.9597,175.566
28,7587.29,13.9612,175.11
29,8361.22,13.9615,174.466
30,9214.08,13.9595,174.026
31,10153.9,13.9634,173.453
32,11189.7,13.9563,172.721
33,12331.1,13.9422,171.858
34,13588.9,13.9253,170.983
35,14975,13.9032,170.005
36,16502.5,13.8842,168.934
37,18185.8,13.8536,167.751
38,20040.8,13.8057,166.169
39,22085,13.7619,165.096
40,24337.7,13.7072,163.475
41,26820.2,13.6388,161.834
42,29556,13.5737,159.442
43,32570.8,13.4762,157.527
44,35893.1,13.3244,154.507
45,39554.3,13.1745,152.863
46,43588.9,12.9439,150.278
47,48035.1,12.7164,146.697
48,52934.8,12.4581,142.114
49,58334.3,12.0636,137.842
50,64284.6,10.9894,128.528
51,70841.8,10.1013,127.998
52,78067.9,9.67936,126.493
53,86031.1,9.11818,123.058
54,94806.5,8.49784,117.6
55,104477,7.72467,113.274
56,115134,6.86624,108.178
57,126878,5.97756,103.274
58,139820,5.06874,99.1999
59,154082,4.1582,94.3423
60,169799,3.27206,91.0623
61,187119,2.37848,84.9776
62,206205,1.54593,81.9808
63,227239,0.724568,77.2615
64,250418,-0.0682579,71.4078
65,275961,-0.744589,68.608
66,304110,-1.47249,65.1645
67,335130,-2.04006,59.0917
68,369314,-2.53502,54.5024
69,406986,-3.00327,50.7063
70,448499,-3.46172,46.5692
71,494248,-3.78425,42.9425
72,544662,-4.11946,38.5691
73,600219,-4.41411,34.6732
74,661444,-4.63219,34.3674
75,728913,-4.87986,30.6109
76,803264,-5.06937,27.3711
77,885199,-5.26241,27.4098
78,975492,-5.1994,26.253
79,1.075e+06,-5.44187,25.7545
80,1.18465e+06,-5.42263,24.929
81,1.30549e+06,-5.30662,23.4568
82,1.43865e+06,-4.98383,22.11
83,1.58539e+06,-4.4681,19.9336
84,1.74711e+06,-3.71504,15.8503
85,1.92532e+06,-2.83817,9.8692
86,2.12171e+06,-1.97789,1.20442
87,2.33813e+06,-1.62054,-9.0723
88,2.57662e+06,-1.67131,-16.7612
89,2.83945e+06,-1.97248,-25.2323
90,3.12908e+06,-2.44715,-32.5042
91,3.44825e+06,-3.06439,-37.6768
92,3.79999e+06,-3.83788,-43.5214
93,4.1876e+06,-4.50628,-49.8749
94,4.61474e+06,-5.53718,-55.2102
95,5.08546e+06,-6.43727,-59.4241
96,5.60419e+06,-7.35757,-56.6461
97,6.17584e+06,-8.25515,-67.391
98,6.80579e+06,-9.25018,-61.4231
99,7.5e+06,-10.1556,-71.3659
